id,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,price,availability_365,availability_30,number_of_reviews,review_scores_rating,host_is_superhost,host_response_rate,instant_bookable,occupancy_rate
1041897135829920124,493320964,Zuid,52.35296,4.84682,Entire rental unit,Entire home/apt,3,1.0,1.0,1.5,121.0,330,8,1,5.0,False,51.0,False,0.09589041095890416
1042013672386291405,16583473,Buitenveldert - Zuidas,52.3309416,4.876598100000001,Private room in bed and breakfast,Private room,1,1.0,1.0,2.0,60.0,269,29,0,,True,100.0,False,0.263013698630137
1042652992230764566,4976185,De Pijp - Rivierenbuurt,52.3530232,4.9015882,Entire condo,Entire home/apt,6,3.0,3.0,1.5,342.0,67,0,8,4.75,False,40.0,False,0.8164383561643835
1043351786103276841,46451368,De Pijp - Rivierenbuurt,52.34315609999999,4.9072567,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,248.0,362,27,3,5.0,False,25.0,False,0.008219178082191747
1043529856133103915,10775651,Zuid,52.35660204136939,4.876533868269828,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,408.0,350,23,11,5.0,False,100.0,False,0.04109589041095896
1043564085900406281,305352222,Bos en Lommer,52.37755,4.84399,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,150.0,89,29,0,,False,0.0,False,0.7561643835616438
1043652018799866827,1831512,Zuid,52.3595,4.87865,Entire condo,Entire home/apt,4,3.0,4.0,1.0,405.0,17,0,7,5.0,False,100.0,False,0.9534246575342465
1044095219134842542,522727959,Centrum-West,52.3722565,4.8974442,Private room in rental unit,Private room,2,1.0,1.0,1.0,120.0,1,1,58,4.6,False,100.0,False,0.9972602739726028
1044272760853389466,479620264,Centrum-West,52.373136870856285,4.880350681382486,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,252.0,272,0,17,4.82,True,100.0,False,0.25479452054794516
1044729914796765284,15573784,Oud-Oost,52.3571751,4.9190553,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,200.0,44,0,4,5.0,False,80.0,False,0.8794520547945206
