listing_id,date
13561575,2018-03-12
15652115,2024-12-29
1260229,2019-08-05
3277053,2017-07-30
22094067,2025-05-23
3840321,2017-01-21
25436200,2021-08-15
4864384,2021-08-24
1057494,2015-04-17
52942756,2022-05-02
40484832,2024-06-21
931270,2025-06-04
20178478,2023-04-13
11460770,2023-04-18
626080085155082749,2024-09-30
15013026,2023-07-05
15258535,2025-01-05
45539466,2024-11-15
21103093,2022-07-21
44130900,2024-04-05
769519444113579670,2024-10-06
50544630,2023-09-03
947437,2016-05-24
28946381,2025-02-03
20433472,2023-05-31
627188,2017-10-31
3934811,2019-03-18
31942766,2023-07-09
769498578801201685,2023-04-15
952622718834892167,2024-06-17
16938317,2023-11-20
8641456,2023-10-23
21529245,2025-01-19
559792626893351044,2022-08-11
14853175,2023-07-07
16249820,2018-12-27
42446371,2024-12-12
3944495,2017-05-29
41967924,2024-04-20
50383849,2022-05-06
18871870,2021-11-07
24256874,2023-05-30
5836359,2023-09-18
764425987371936184,2023-04-10
54043086,2024-10-10
24137393,2023-04-05
15013026,2024-07-13
18816460,2025-07-30
450767,2014-07-17
17129224,2024-03-03
6564456,2017-08-22
343094,2022-12-01
708675306315322716,2023-10-13
1630438,2022-10-16
29051,2018-06-11
53911469,2025-02-23
960840548992503913,2025-03-09
6280751,2016-11-04
50452179,2021-08-27
20071782,2025-07-28
18622506,2018-07-02
7276869,2020-04-08
23777372,2019-05-13
7571471,2018-10-31
29116941,2024-08-18
6803270,2016-02-28
2477880,2018-11-28
18517833,2025-05-07
20405959,2021-11-11
193038,2012-10-10
15262729,2018-04-08
1038120,2016-04-26
655216,2022-07-16
1153569259055612811,2025-06-06
13080195,2022-11-04
1145866,2022-08-29
1023972235366442978,2024-07-28
763664526435168869,2025-05-16
20113545,2023-06-04
28946381,2020-02-10
22978000,2024-05-11
4282686,2015-08-17
793379562256014254,2025-05-10
50383849,2025-08-24
50452179,2025-02-04
7925449,2016-10-09
676837659076152918,2023-11-08
2739228,2016-06-28
20190961,2025-06-17
50383849,2023-01-25
1429701,2018-10-04
515749,2023-07-19
7276869,2017-10-21
36233004,2025-08-24
4635416,2022-03-31
20433445,2017-10-29
4550468,2023-04-23
1272352,2014-05-22
36869704,2023-02-26
1111543071740017524,2024-08-12
18665291,2019-07-01
4640869,2019-04-22
1394668,2023-03-17
14760457,2023-10-29
12596322,2019-03-17
44374975,2023-03-17
52967596,2023-06-10
53911469,2024-07-20
627188,2023-08-22
39361288,2022-10-29
18172462,2019-11-30
23332938,2023-08-18
613435024662409206,2024-06-26
52947886,2022-09-16
16591325,2023-11-05
27803193,2023-12-18
19339621,2017-11-01
631858155416835277,2022-09-26
1065133617771506304,2024-06-09
53090192,2022-10-14
6819536,2017-11-21
1122466430682712738,2024-07-27
777465078572630213,2024-04-30
1322531113052005977,2025-08-17
45539834,2025-06-13
50522635,2021-10-24
554032391871247917,2024-07-16
45539684,2023-10-09
23768505,2024-12-03
38012872,2023-03-06
10760972,2018-07-01
794322,2016-03-30
3840321,2017-09-10
678122187205196251,2022-11-06
35394328,2024-12-16
21009564,2019-08-08
27711492,2019-05-26
21389780,2024-04-27
5560161,2017-08-11
1814121,2016-03-29
4636051,2015-06-15
956537070836950400,2025-03-22
7276869,2019-07-23
21327054,2020-01-19
1901877,2018-04-06
522471,2016-06-27
23768505,2018-04-06
13429174,2022-10-16
915084412579814458,2024-12-05
20178478,2019-08-23
5012728,2016-10-25
23814912,2024-01-29
30762441,2019-11-05
21486402,2022-11-06
35791569,2024-05-06
24159344,2019-09-06
32068256,2025-06-21
49375834,2023-08-17
17150944,2017-05-26
36824667,2021-08-20
17549368,2025-06-15
21662869,2025-01-04
15530149,2022-10-24
4035170,2021-12-05
1293334440470225371,2025-01-07
4934237,2015-03-16
601244188326151661,2024-04-19
32982335,2022-11-11
34551064,2024-08-25
31945260,2019-12-04
654931,2024-02-16
8880908,2016-01-03
3270897,2015-05-05
15497619,2023-11-07
19803300,2019-10-15
7812608,2022-03-26
746060021045144380,2025-06-30
40417258,2024-06-09
5887152,2025-05-15
5609836,2018-06-15
13807499,2023-05-01
50383849,2022-09-13
3500433,2024-06-06
34008858,2024-12-21
1677381,2019-04-06
854073869768037707,2023-12-31
14853175,2025-03-29
40225175,2024-05-03
7111455,2015-08-19
16185181,2021-07-12
30812596,2024-09-15
15262729,2025-09-01
50511985,2024-06-22
13460110,2017-12-16
5718834,2023-06-18
13463110,2023-08-18
13034385,2017-06-30
606871,2022-07-01
971040305138950469,2024-01-03
879986,2020-08-23
1193346490682168251,2025-01-29
26776129,2021-08-07
14274504,2018-09-16
1201955967496083383,2024-10-20
50848503,2024-05-01
3847617,2015-04-25
50342109,2022-02-14
10432232,2018-05-17
849666222183581703,2023-05-28
45747871,2022-08-07
19715150,2020-11-27
18298091,2023-04-30
45045046,2021-06-17
683431,2016-05-01
17129224,2022-05-11
97221,2019-07-02
26712318,2019-01-16
6085243,2019-11-09
49315618,2024-05-12
31011504,2022-07-07
15167502,2023-08-14
20071782,2022-04-20
31870080,2025-09-01
1024650965380295730,2024-09-19
29230120,2021-10-03
20516768,2022-10-17
8749341,2024-04-14
3690880,2019-12-04
14274504,2023-05-25
22563427,2022-05-15
24910547,2025-05-31
768274,2022-04-25
52575047,2023-08-03
6297430,2024-03-03
1455905188256198075,2025-07-16
26519083,2023-05-29
50544630,2023-04-25
1105128,2020-01-12
2429334,2023-01-24
15653533,2025-08-27
32485135,2024-03-18
12213244,2018-08-18
16222778,2024-10-04
963328,2023-02-05
26736625,2020-06-22
809456175977523968,2023-04-17
1031093405538487435,2024-11-03
39896478,2025-09-07
26579485,2023-06-06
1454889920992606142,2025-08-28
22975936,2025-03-07
1383369,2013-09-19
4147932,2023-05-27
50263,2016-01-02
32485135,2025-05-06
1848477,2014-10-05
22807669,2018-02-18
18882208,2019-05-05
21640663,2019-05-21
6474026,2023-08-24
33986110,2023-10-04
42479237,2023-05-15
29212801,2023-04-11
7925449,2025-07-16
11609099,2019-04-13
3285009,2019-07-19
21978969,2021-11-22
646185276389800252,2025-07-19
14543325,2016-11-05
21405561,2022-10-06
23575414,2022-12-29
1199125579575191309,2024-12-06
2965812,2017-07-30
771604446735535557,2025-06-17
591951,2014-03-06
6668354,2018-10-22
38813137,2019-11-04
579851,2023-01-02
24786368,2023-05-14
703633681123945658,2023-08-18
714295940209065917,2023-09-10
5982570,2025-08-17
20178478,2023-10-03
9903960,2024-09-12
659152081757704200,2023-03-03
6485103,2024-01-04
11620756,2021-07-19
25966203,2021-08-30
1132752110953161237,2024-12-18
20816136,2023-08-01
15013026,2021-12-23
21718646,2019-06-21
1466899807821228722,2025-08-22
30812596,2023-09-15
20433472,2023-02-16
23684337,2023-07-12
27803193,2020-07-11
45109092,2022-02-17
11559431,2024-08-02
440992,2016-04-25
16687949,2025-07-08
30551730,2024-08-26
15527704,2025-04-30
761411,2014-09-14
857771032141263073,2025-08-09
11650024,2018-03-25
528022,2019-05-01
649101816251286416,2022-12-30
18576284,2017-08-08
14086359,2023-08-24
19321849,2017-09-29
11559431,2017-10-20
32485135,2023-01-29
35394324,2022-12-17
17875133,2019-10-11
1246242,2019-08-14
1025482,2014-11-19
33364999,2019-08-15
32485135,2021-10-03
6735459,2019-10-07
46502181,2022-12-06
6735459,2019-03-30
833090570717936762,2023-04-12
22187951,2020-09-06
23020332,2022-03-21
49739955,2025-07-15
4488692,2025-04-21
16154366,2022-05-29
28236509,2022-11-19
42479237,2023-12-01
30770374,2020-07-10
21211980,2021-08-25
27809371,2019-02-07
884329,2015-01-20
32485135,2023-03-07
4764819,2016-09-09
21979569,2018-05-13
15093623,2018-11-26
640979169940307267,2023-01-24
1272352,2024-09-11
26035980,2023-04-05
685990,2019-09-07
17050106,2018-07-22
23963946,2023-06-24
39085747,2023-02-25
613088,2014-04-28
36928848,2021-11-07
6665729,2017-06-30
42446222,2025-09-02
1008223,2018-01-14
23312970,2025-03-15
